Type,Key,Summary,Resolution Date,Open,Ready for Refinement,Investigation,Reopened,On Hold,Backlog,To Do,Refined,In Development,Ready for test,In Testing,In Progress,Waiting for acceptance,Done,Abandoned,,,
,EASYPAY-745,[DB] update PAYMENTS_ISO.DEBT_CRED_NOTIFICATION.VALUE_DATE comment,10/9/24,0.27h,0.00h,,,,,,,3.43h,2.65h,23.60h,0.08h,,,,13604.65h,,
Production bug,EASYPAY-743,STAR teller daily report SEPA cross-border payment is not visible.,10/8/24,0.43h,0.32h,,,,,,,0.00h,1.53h,15.67h,7.87h,,,,13627.12h,,
Production bug,EASYPAY-793,[FORMS] Error given on risk forms when sorting columns,11/22/24,0.20h,1078.33h,,,,,,,28.95h,1.18h,0.23h,0.37h,,,,12547.68h,,
Production bug,EASYPAY-740,[FlowMerge] part of incoming intragroup payments are not credited,10/8/24,0.00h,0.13h,,0.05h,,,,,3.43h,2.28h,0.73h,23.15h,,,,13628.47h,,
,EASYPAY-768,Extra - iBank: bank defined and my defined should be showed in one tab in LV iBank,11/15/24,0.20h,114.52h,,,,,,,34.88h,39.05h,646.35h,27.25h,,164.57h,,12722.28h,,
,EASYPAY-767,Extra - iBank: update defined payment menu interface,11/15/24,0.00h,114.80h,54.85h,,,,,,26.12h,18.22h,700.18h,112.87h,,,,12722.28h,,
,EASYPAY-1286,iBank: remove code for Incoming international payments,1/12/26,9171.27h,840.60h,,,,,,,90.88h,146.73h,932.90h,0.00h,,,,2570.20h,,
,EASYPAY-1285,STAR: clean-up STAR not to check Sysglobal SEPA_SINGLE_FORM_START,1/8/26,9172.03h,720.63h,,,,,,,115.08h,74.15h,1.20h,1005.60h,,,,2664.65h,,
,EASYPAY-1281,iBank: clean-up iBank not to check Sysglobal SEPA_SINGLE_FORM_START,1/26/26,9172.07h,1867.72h,,,,,,,0.00h,196.82h,192.08h,95.87h,,,,2228.85h,,
,EASYPAY-739,[TEST] RT1: Private Identification tag in pacs.028 message to TIPS,10/11/24,0.00h,116.10h,,,,,,,0.23h,0.00h,5.68h,89.52h,,,,13562.90h,,
,EASYPAY-774,Create error/action logging functionality,12/13/24,0.03h,1199.40h,,0.22h,,,,,0.53h,459.02h,1.27h,73.95h,,,,12043.75h,,
,EASYPAY-832,[STAR LV] Get PDF printout for incoming TPH payment,2/25/25,744.37h,2379.92h,,,,,,,306.98h,98.00h,68.13h,30.07h,,,,10268.38h,,
,EASYPAY-836,"[FORMS, DB] Hide TPH payments in Forms/Domestic payments",2/28/25,0.00h,3164.37h,,338.27h,,,,,0.95h,5.10h,113.03h,71.18h,,,,10203.42h,,
,EASYPAY-737,[TEST] E-invoice testing to validate shorter IB timeout possibility,10/2/24,0.35h,0.00h,,,,,,,0.00h,,95.50h,26.27h,,,,13775.42h,,
,EASYPAY-736,Create an initial launchable application in repository,10/1/24,0.00h,0.00h,,,,,,,0.00h,143.22h,0.00h,0.00h,,,,13799.82h,,
,EASYPAY-794,[DB] Add new predefined case search,11/26/24,0.37h,1388.45h,,,,,,,96.63h,5.42h,0.03h,24.47h,,,,12451.88h,,
,EASYPAY-796,[FORMS] Improvements to manual handling of payments stopped by Risk Screening,11/27/24,0.00h,1365.67h,,23.63h,,,,,0.47h,29.67h,0.27h,116.03h,,,,12432.00h,,
,EASYPAY-773,Request CyberArk Web Access User,11/8/24,214.63h,893.57h,,,,,,,,,,,,,,,12884.63h,
,EASYPAY-775,Create alert in Swedbank Alerts system,1/13/25,0.58h,1414.88h,,,,,,,0.53h,1277.93h,0.00h,0.00h,,,,11300.10h,,
,EASYPAY-776,Kafka connection failed - EHI for W981 service,2/27/25,51.05h,1505.27h,,,,,,,1855.52h,88.98h,95.57h,317.03h,,,,10221.43h,,
,EASYPAY-732,E-invoice sellers can't import e-invoices via IBANK BUSINESS if the buyer exist in destinations which don't use IBAN ACCOUNT as channelAddress,9/11/24,3.57h,0.00h,,,,,,,1.70h,,0.58h,0.00h,,,,14274.15h,,
,EASYPAY-719,[STAR PB] Show error code in detailed e-invoice in search of E-invoices sent to other banks,10/25/24,260.55h,0.00h,,,,,,,616.85h,292.33h,0.12h,1.62h,,,,13225.73h,,
,EASYPAY-730,[DB] Create DB user for a new BpayStream application,9/18/24,0.35h,143.90h,,,,,,,5.47h,116.83h,0.40h,25.68h,,,,14108.53h,,
,EASYPAY-717,iBank: payment list should have same validation as payment form,9/17/24,20.13h,0.00h,,,,,,,0.18h,5.87h,0.15h,257.63h,,,,14138.75h,,
,EASYPAY-715,[DB] to create new algorithm for service id,9/25/24,0.02h,451.00h,,,,,,,0.00h,22.98h,0.18h,26.83h,,,,13944.63h,,
,EASYPAY-722,RT1: Emergency liquidity adjustments in PSR message,10/23/24,0.00h,835.23h,,1.02h,,,,,23.88h,6.15h,25.27h,330.13h,,,,13272.73h,,
,EASYPAY-712,Banklink instant payments over open-bank get wrong status after execution,9/4/24,214.37h,,,,,,,,,,,,,,,14446.02h,,
,EASYPAY-731,Collect Payment Data for Kafka streaming,10/30/24,25.52h,164.17h,,315.35h,,,,,652.87h,357.38h,0.05h,141.02h,,,,13105.63h,,
,EASYPAY-777,"[TESTING] Check ""Dead Letter Queue"" functionality for BpayStream app",1/6/25,6.47h,2158.55h,,18.48h,,,,,1106.08h,,4.32h,0.30h,,,,11467.85h,,
,EASYPAY-789,[DB] cutoff data manipulation rule for pacs.004,11/28/24,0.00h,,,2369.43h,,,,,,,,,,,,,12409.53h,
,EASYPAY-707,[TEST] EURO1 end-to-end testing,10/11/24,2.23h,809.30h,,,,,,,0.00h,,143.02h,263.43h,,,,13563.45h,,
,EASYPAY-706,[TEST] RTGS end-to-end testing,10/7/24,20.80h,790.72h,,,,,,,0.00h,,4.40h,306.93h,,,,13658.63h,,
,EASYPAY-787,[ISOX] Enable value date correction functionality for pacs.004,2/28/25,0.02h,333.07h,5.17h,2039.67h,,,,,0.15h,4.32h,625.95h,1602.98h,,,,10195.02h,,
,EASYPAY-802,"Core reports (payments maint) - Adjust ""Wrong payment status EE/LV/LT"" (SIPCO)",1/7/25,0.07h,3141.10h,,169.27h,,,,,0.00h,3.70h,140.25h,27.02h,,,,11444.68h,,
,EASYPAY-800,"Core reports (payments maint) - Adjust ""Instant payments in ProScan >15sec EE/LV/LT"" (SIPCO/SIPCI)",1/14/25,0.00h,3140.08h,,169.40h,,,,,0.00h,1.00h,196.10h,144.08h,,,,11275.52h,,
,EASYPAY-799,"Core reports (payments BO) - Adjust ""IP benchmark EE/LV/LT"" (SIPCO/SIPCI)",1/10/25,0.00h,3116.53h,,193.30h,,,,,0.00h,2.15h,172.35h,70.67h,,,,11373.70h,,
,EASYPAY-798,"Core reports (payments BO) - Adjust ""Local benchmark EE/LV/LT"" (SIPCO/SIPCI)",1/8/25,0.00h,3121.12h,,172.47h,,,,,0.00h,0.18h,18.43h,198.10h,,,,11418.55h,,
,EASYPAY-803,"Core reports (risk) - Adjust ""PROD EE/LV/LT cust pmts inc out"" (SIPCO/SIPCI)",1/15/25,0.03h,1679.32h,,1512.92h,,,,,0.00h,72.00h,217.67h,165.97h,,,,11252.57h,,
,EASYPAY-704,[DB] Create SysGlobal for data streaming to Kafka platform,8/27/24,0.00h,3.70h,,,,,,,425.55h,0.68h,7.33h,0.00h,,,,14636.38h,,
,EASYPAY-711,IB Testing: in Ibank  Corp Customers can not import e-invoice files due to following error: Error putting e-invoice into filebarn,9/2/24,356.45h,0.00h,,,,,,,0.00h,,68.13h,167.95h,,,,14498.82h,,
,EASYPAY-701,[REGR][ISO Exchange] Update XSD for CLM messages,10/22/24,0.05h,22.65h,22.28h,,,,,,194.05h,1.10h,1464.35h,116.87h,,,,13299.10h,,
,EASYPAY-687,"STAR EE: hide old portlets >> ""Baltic statement"" & ""Baltic balance""",8/8/24,0.15h,40.52h,,,,,,,95.25h,30.12h,0.60h,44.40h,,0.80h,,15095.17h,,
,EASYPAY-685,PB Implement automated E-invoice Seller Agreement and Operator Service agreement closure if agreement was not activated during 6 months,10/16/24,0.42h,737.80h,,963.67h,,,,,0.00h,49.43h,77.92h,42.12h,,,,13442.53h,,
,EASYPAY-684,PB Implement automated Standing Order Agreement closure if agreement was not activated during 7 calendar days,10/22/24,0.58h,702.13h,,983.47h,,,,,0.00h,0.95h,306.48h,25.72h,,,,13295.17h,,
,EASYPAY-683,[DB] Grant rights for monitoring user,7/26/24,0.00h,0.10h,,,,,,,0.02h,0.98h,0.38h,2.35h,,,,15407.03h,,
,EASYPAY-681,[DB] drop tables used for queues recreation,8/12/24,0.05h,313.77h,,,,,,,46.48h,0.78h,94.72h,4.35h,,,,14998.77h,,
,EASYPAY-1379,[DB] 14. Payload messages generation on DAY0 load for Bank Defined Payments agreements,3/17/26,2638.85h,11617.50h,,,,,,,0.00h,99.05h,1.72h,185.60h,,,,1033.13h,,
,EASYPAY-1380,[DB] 3. Payload messages generation for Bank Defined Payments agreements,2/18/26,2617.68h,10965.05h,,,,,,,169.55h,1.08h,25.95h,114.48h,,,,1682.22h,,
,EASYPAY-682,IBank: adjust E-invoice manual payment form // Value date,8/6/24,76.63h,65.05h,,,,,,,94.88h,98.08h,0.53h,97.97h,,,,15143.02h,,
,EASYPAY-1378,[DB] 9. Payload messages generation on MDM requests for Bank Defined Payments,3/16/26,2619.72h,11279.25h,15.17h,,,,,,143.68h,24.18h,434.90h,4.95h,,,,1055.32h,,
,EASYPAY-1376,[DB] 6. Track changes in agreements for Bank Defined Payments,2/23/26,2618.83h,11255.48h,,,,,,,22.15h,2.55h,44.17h,73.70h,,,,1560.35h,,
,EASYPAY-671,Star: javascript error after pressing Control Swift button,7/10/24,0.00h,0.00h,,,,,,,0.05h,0.50h,0.13h,5.40h,,,,15787.82h,,
,EASYPAY-668,Testing STAR on Openshift,1/6/25,0.00h,0.00h,,,,,,,0.00h,,1436.60h,2910.25h,,,,11467.73h,,
Production bug,EASYPAY-754,DB: recall originators name length issue for SEPA,10/29/24,0.45h,2683.35h,,,,,,,118.08h,53.20h,99.65h,25.07h,,,,13122.08h,,
,EASYPAY-651,[DB] Fix sql monitoring 'SEPA intragroup messages are not received last hour',6/27/24,0.27h,16.73h,,,,,,,0.45h,4.08h,0.00h,0.00h,,,,16102.23h,,
,EASYPAY-650,[DB] monitoring s,7/15/24,454.03h,,,,,,,,,,,,,,,,15669.87h,
,EASYPAY-649,[DB] Recreate existing queues adding priority to sort list,7/24/24,0.00h,503.70h,,,,,,,0.08h,168.67h,0.03h,25.52h,,,,15456.40h,,
,EASYPAY-636,[DB] Archiving of VM.SEPA_SYSTEM_EVENT_NOTE,8/6/24,0.02h,985.87h,,,,,,,0.00h,45.43h,99.57h,0.07h,,,,15139.52h,,
,EASYPAY-652,"STAR (EE, LT. LV): Add ''Print Agreement'' button for Standing Order Agreement in status ''Awaiting for confirmation''",7/3/24,165.12h,0.00h,,,,,,,0.30h,119.07h,24.57h,0.62h,,,,15962.03h,,
,EASYPAY-621,DB: create a new channel code for round-up Investments,7/26/24,0.00h,39.48h,,,,,,,1.27h,3.80h,789.47h,100.50h,,,,15403.48h,,
Production bug,EASYPAY-620,Details field is empty in return payment via account statement,6/20/24,0.00h,17.50h,,,,,,,21.72h,3.22h,0.20h,2.33h,,,,16271.15h,,
,EASYPAY-619,[REGR] Split sepa-exchange into 2 applications,10/31/24,0.00h,161.63h,,,,,,,0.55h,47.53h,2741.43h,241.47h,,,,13075.57h,,
,EASYPAY-602,DB: create new OP ID for round-up Investments,7/26/24,2.13h,40.88h,,,,,,,22.72h,3.80h,769.50h,99.07h,,,,15403.43h,,
,EASYPAY-599,[REGR][ISO Exchange] Update XSD for other E1S1 messages,10/28/24,0.38h,1177.15h,,,,,,,191.55h,3.60h,1701.58h,101.75h,,,,13147.27h,,
,EASYPAY-600,[ISO Exchange] Update XSD for camt.077.001.01 (CoCo),8/23/24,0.02h,1177.83h,,,,,,,23.08h,286.72h,79.32h,21.67h,,,,14735.03h,,
Production bug,EASYPAY-580,"During DC the error appears, when started archiving by DP: ORA-02292",6/20/24,0.02h,71.40h,,,,,,,0.62h,0.50h,0.20h,5.25h,,,,16268.20h,,
,EASYPAY-724,RT1: RT1/TIPS camt.054 XSD update,10/17/24,0.00h,976.37h,,1783.72h,,,,,50.98h,20.27h,2.12h,172.57h,,,,13412.32h,,
,EASYPAY-579,Remove usage of crebit.tyyp_mk_penalty and crebit.tyyp_mk_deny from applications,6/25/24,0.00h,0.00h,,,,,,,93.78h,97.65h,3.95h,96.23h,,,,16149.22h,,
,EASYPAY-720,RT1: TIPS camt.053 XSD update,10/25/24,0.00h,2159.85h,,639.93h,,,,,45.10h,26.15h,23.63h,336.85h,,,,13226.52h,,
,EASYPAY-723,RT1: Business date in TIPS camt.054 message,10/17/24,0.00h,976.00h,,1825.23h,,,,,53.47h,17.83h,1.85h,172.62h,,,,13412.52h,,
,EASYPAY-721,[TEST] RT1: Opening Balance in TIPS camt.053 statement -> MT950,10/25/24,0.00h,2429.47h,,641.40h,,,,,0.00h,,161.55h,4.35h,,,,13222.77h,,
,EASYPAY-576,[DB] Fix existing LV Bank defined payment templates data,8/5/24,0.17h,1227.20h,,,,,,,0.57h,0.62h,0.10h,65.53h,,,,15170.18h,,
,EASYPAY-577,SEPA flow merge - creditor reference issue in incoming payments,6/27/24,0.00h,0.67h,,0.85h,,,,,20.95h,28.95h,0.05h,311.73h,,,,16102.45h,,
,EASYPAY-597,[REGR][ISO Exchange] Update XSD for other RTGS messages,10/7/24,25.68h,53.10h,,1290.63h,,,,,149.85h,41.77h,1131.67h,163.93h,,,,13658.62h,,
,EASYPAY-601,"[ISO Exchange] Update XSD for pacs.004.001.09 (RTGS, E1S1)",8/22/24,6.35h,1363.08h,,,,,,,48.67h,98.18h,0.50h,241.78h,,,,14756.72h,,
,EASYPAY-596,"[ISO Exchange] Update XSD for pacs.009.001.08 CORE and COV (RTGS, E1S1)",8/21/24,5.68h,1363.73h,,,,,,,47.28h,5.47h,20.47h,289.82h,,,,14782.83h,,
,EASYPAY-598,"[ISO Exchange] Update XSD for pacs.008.001.08 (RTGS, E1S1)",8/22/24,5.37h,1363.92h,,,,,,,147.08h,3.00h,213.17h,26.13h,,,,14756.68h,,
Production bug,EASYPAY-635,Ignore Interbank settlement date if provided in future for Incoming instant payments.,6/27/24,69.43h,235.23h,,,,,,,0.98h,123.32h,1.75h,42.83h,,,,16105.77h,,
,EASYPAY-578,Teleagreement closing is failing,6/14/24,0.00h,,,,,,,,1.22h,1.23h,0.18h,21.47h,138.00h,,25.18h,16417.00h,,
,EASYPAY-755,[REGR][DB] Cleanup task – decommission old offline payment queue.,10/31/24,3190.90h,0.00h,,,,,,,0.00h,5.32h,166.07h,171.15h,,,,13075.52h,,
,EASYPAY-622,(TEST) Verify that Baltic intragroup payments are screened only on sending side,6/25/24,0.27h,353.10h,,,,,,,0.47h,,125.12h,1.37h,,,,16147.62h,,
,EASYPAY-623,(TEST) Verify intragroup flow with SWEDSESS,7/16/24,1.63h,352.92h,,,,,,,0.47h,,6.72h,617.82h,,,,15649.57h,,
,EASYPAY-617,Keep Nostro account balance update only on SEPA “Normal” instance,10/30/24,140.68h,426.53h,,,,,,,0.00h,,2695.32h,240.17h,,,,13100.70h,,
Production bug,EASYPAY-572,[iBank] Business user signed payment twice from payment list,6/6/24,0.15h,46.82h,,,,,,,,,,,,,,,16609.42h,
,EASYPAY-1360,[DB] Create log table for payload messages that were send to MDM,2/2/26,860.73h,13347.42h,,,,,,,74.77h,93.45h,140.92h,97.63h,,,,2063.40h,,
,EASYPAY-1485,Rights and roles order for Accounts Kafka environment,3/27/26,0.00h,15929.93h,,,,,,,2.08h,24.42h,1.35h,0.00h,,,,789.18h,,
,EASYPAY-1481,Rights and roles order for MDM Kafka environment,3/26/26,1.25h,15526.82h,,,,,,,212.15h,191.15h,0.00h,0.00h,,,,818.10h,,
,EASYPAY-1375,[DB] 11. Payload messages generation on CLIENT_ID merges on Accounts side for GIRO Beneficiary Agreement,3/6/26,1.70h,15214.43h,,,,,,,24.45h,19.37h,169.55h,28.93h,,,,1291.68h,,
,EASYPAY-1383,[DB] 10. Payload messages generation on CLIENT_ID merges on Accounts side for Standing Order,3/9/26,2.77h,15214.43h,,,,,,,23.43h,20.38h,198.55h,71.05h,,,,1220.58h,,
,EASYPAY-1377,[DB] 13. Payload messages generation on DAY0 load for GIRO Beneficiary Agreement,3/16/26,3.73h,15428.92h,,,,,,,0.00h,98.97h,1.72h,167.10h,,,,1051.73h,,
,EASYPAY-1374,[DB] 12. Payload messages generation on DAY0 load for Standing Orders,3/17/26,3.98h,15287.12h,,,,,,,0.00h,242.32h,185.15h,4.63h,,,,1029.22h,,
,EASYPAY-569,[SEPA-EXCHANGE] Outgoing cross-border returns handeled incorrectly,6/5/24,0.15h,0.00h,,,,,,,0.12h,18.35h,5.32h,121.25h,,,,16628.30h,,
,EASYPAY-1359,[DB] Create new table to store copy of incoming MDM requests,2/2/26,26.52h,14278.25h,,,,,,,121.78h,46.42h,140.95h,99.83h,,,,2061.20h,,
,EASYPAY-605,Read all messages from same queue part 2,8/9/24,265.87h,908.43h,,,,,,,144.52h,0.45h,340.38h,50.12h,,,,15066.85h,,
,EASYPAY-568,[bank-components] SEPA flow merge start is checked incorrectly,6/4/24,0.00h,0.02h,,,,,,,0.00h,3.10h,19.90h,102.87h,,,,16651.02h,,
,EASYPAY-567,(SEPA-exchange) Start receiving intragroup messages after SEPA FLM start,6/7/24,0.00h,2.58h,,,,,,,0.02h,6.15h,167.55h,18.75h,,,,16586.27h,,
,EASYPAY-566,[DB] Grant rights for ipank.payment_bookmark table,5/30/24,0.03h,0.00h,,,,,,,1.35h,0.25h,46.17h,0.08h,,,,16773.42h,,
,EASYPAY-565,Wrong <BICFI></BICFI> value in recall message camt.056.001.08,5/29/24,0.00h,0.00h,,,,,,,21.85h,3.45h,3.15h,0.42h,,,,16795.95h,,
Production bug,EASYPAY-571,Failed to process message. Retry attempts exhausted. Message discardedjava.lang.IllegalArgumentException,6/6/24,0.00h,187.87h,,,,,,,6.38h,0.03h,17.45h,31.63h,,,,16603.20h,,
,EASYPAY-608,Provide application performance metrics to monitoring tool,11/29/24,3768.55h,93.22h,,,,,,,0.60h,212.85h,387.67h,0.00h,,,,12384.68h,,
Production bug,EASYPAY-669,Technical error when closing an e-invoice seller agreement in STAR,7/24/24,0.20h,1030.87h,146.40h,,,,,,4.32h,73.05h,103.88h,33.97h,,,,15454.92h,,
,EASYPAY-586,(Core reports) Report about regulatory returns of outgoing SEPA cross-border payments,8/8/24,430.08h,333.07h,,650.82h,,,,,0.00h,268.03h,0.68h,74.23h,,,,15091.73h,,
,EASYPAY-588,(Core reports) Adjust 'waiting pensions' report (EE),9/5/24,0.15h,93.22h,,2088.95h,,,,,0.00h,24.55h,145.18h,69.48h,,,,14427.27h,,
,EASYPAY-610,Reallocate resources from AQ user pool to MQ pool,10/14/24,338.18h,3020.40h,,,,,,,,,,,,,,,13490.37h,
,EASYPAY-1322,[DB] Implement improvements for Account alias consents,1/26/26,10759.38h,0.00h,,2658.48h,,,,,408.67h,264.83h,19.97h,464.00h,,,,2226.35h,,
,EASYPAY-611,Split application code/configuration for each SEPA instance,10/14/24,339.17h,3020.43h,,,,,,,,,,,,,,,13490.35h,
,EASYPAY-604,[REGR]DB: decommission not anymore used queue after change,8/27/24,404.65h,1365.65h,,,,,,,47.28h,3.65h,451.80h,7.53h,,,,14634.83h,,
,EASYPAY-603,[REGR] Read all messages from same queue Part 1,7/3/24,404.67h,236.35h,,,,,,,167.23h,4.43h,91.75h,54.00h,,,,15957.00h,,
,EASYPAY-606,DB: put all messages to common queue,8/9/24,404.67h,908.42h,,,,,,,120.43h,31.62h,333.33h,50.12h,,,,15066.85h,,
,EASYPAY-583,(Core reports LV) Adjust 'Pmts inc out special BIC list',7/23/24,0.70h,1338.32h,,,,,,,0.00h,72.33h,6.55h,22.55h,,,,15478.60h,,
,EASYPAY-587,(Core reports) Adjust 'PROD LV big INCOMING dom pmts' report (LV),7/22/24,0.55h,1316.20h,,,,,,,0.00h,22.27h,1.12h,79.40h,,,,15499.50h,,
,EASYPAY-591,(Core reports) Adjust 'PROD EE/LV/LT cust pmts inc out' reports,7/29/24,2.22h,1341.72h,,67.55h,,,,,0.00h,23.00h,1.40h,144.42h,,,,15338.82h,,
,EASYPAY-677,(Core reports) Adjust 'PROD EE/LV/LT big dom pmts' reports,7/22/24,0.78h,1200.20h,,69.15h,,,,,0.00h,46.77h,1.12h,99.92h,,,,15501.32h,,
,EASYPAY-1353,[DB] Create Oracle package to store procedures used for payload message generation,1/16/26,195.07h,14251.80h,,,,,,,2.17h,20.58h,1.88h,2.62h,,,,2469.38h,,
,EASYPAY-626,Create NameSpace,9/25/24,116.67h,2592.05h,,,,,,,167.65h,145.72h,0.00h,0.00h,,,,13943.48h,,
,EASYPAY-629,[DB] Create data reading procedure for Q_DP_FOR_KAFKA queue,6/19/24,43.37h,625.38h,,,,,,,,,,,,,,,16297.13h,
,EASYPAY-630,[DB] Create data writing procedure for Q_DP_FOR_KAFKA queue,9/3/24,42.67h,1851.67h,,,,,,,0.00h,3.12h,569.00h,26.77h,,,,14472.70h,,
,EASYPAY-627,[DB] Create trigger for CREBIT.DB table,9/3/24,43.28h,2278.78h,,,,,,,0.15h,7.75h,136.52h,26.75h,,,,14472.70h,,
,EASYPAY-632,[DB] Create Q_DP_FOR_KAFKA queue for Kafka integration application,9/3/24,43.07h,1828.85h,,,,,,,0.00h,22.55h,572.12h,26.78h,,,,14472.68h,,
,EASYPAY-829,[IBANK LT] Get PDF printout for TPH incoming payment,3/4/25,3141.45h,2926.93h,,,,,549.45h,,27.13h,66.40h,73.73h,121.57h,,,,10104.85h,,
,EASYPAY-852,[CORE DB] Provide TPH payment information in MT900/910,4/7/25,4392.47h,1414.87h,,597.50h,,,550.77h,,170.27h,267.42h,41.72h,287.43h,,,,9290.65h,,
,EASYPAY-853,[CORE DB] Provide TPH payment information in MT950,4/3/25,4392.42h,1679.15h,,597.53h,,,550.77h,,0.00h,198.27h,16.95h,192.00h,,,,9386.03h,,
,EASYPAY-854,"[CORE DB] Provide TPH payment information in MT940, 942",4/15/25,4392.38h,1893.85h,,597.52h,,,550.80h,,0.00h,147.25h,2.23h,335.65h,,,,9093.48h,,
,EASYPAY-828,[IBANK] View TPH incoming payment details,2/12/25,3138.93h,2403.60h,0.00h,,,,551.18h,,43.17h,221.30h,17.13h,58.98h,,,,10578.93h,,
,EASYPAY-556,[DB] processing flow code 'GF' in respond to intragroup claim,6/6/24,0.02h,0.00h,,,,,,,0.32h,18.93h,151.48h,233.35h,,,,16610.07h,,
Production bug,EASYPAY-573,Ibank: customer can't execute international payment if defined payment is used,6/20/24,20.35h,383.82h,,168.30h,,,,,26.22h,,0.68h,142.97h,,,,16272.47h,,
,EASYPAY-1372,[DB] 2. Payload messages generation for GIRO Beneficiary Agreement,2/18/26,267.28h,14755.15h,,,,,,,168.97h,1.68h,25.37h,114.98h,,,,1682.30h,,
,EASYPAY-1385,[DB] 1. Payload messages generation for Standing Orders,2/18/26,267.32h,14755.17h,,,,,,,24.45h,146.18h,2.00h,138.23h,,,,1682.43h,,
,EASYPAY-555,Sepa-exchange: Risk screening fails for incoming return,5/22/24,0.12h,0.03h,,,,,,,1.07h,0.32h,27.75h,17.38h,,,,16969.88h,,
,EASYPAY-634,Create BpayStream integration Application,10/22/24,172.03h,2588.43h,,,,,,,457.18h,213.50h,144.45h,149.08h,,,,13293.02h,,
,EASYPAY-624,Onboarding to Andromeda,9/26/24,170.03h,2590.85h,,,,,,,169.68h,174.73h,0.00h,0.00h,,,,13912.45h,,
,EASYPAY-633,Monitoring set up,9/12/24,170.83h,2591.50h,,,,,,,,,,,,,,,14255.45h,
,EASYPAY-631,Onboarding to CI/CD,9/27/24,168.85h,2592.07h,,,,,,,344.42h,13.35h,0.00h,0.00h,,,,13899.10h,,
,EASYPAY-625,Create BitBucket repository,9/25/24,170.42h,2590.52h,,,,,,,169.67h,145.30h,0.00h,0.00h,,,,13941.90h,,
,EASYPAY-628,Order firewall openings,10/9/24,170.42h,3213.97h,,,,,,,0.02h,29.33h,0.00h,0.00h,,,,13604.10h,,
,EASYPAY-554,[DB] Reference for outgoing claims and status updates,6/7/24,0.00h,0.00h,,,,,,,0.00h,23.70h,401.87h,168.18h,,,,16586.58h,,
,EASYPAY-553,Sepa-Exchange: Change op_tyyp to SG for incoming intragroup payments,5/14/24,0.00h,0.00h,,,,,,,21.67h,,1.88h,1.63h,,,,17155.78h,,
,EASYPAY-552,Sepa-exchange: Risk screening fails for incoming payments to ledger account,5/31/24,0.00h,0.00h,,,,,,,120.68h,18.78h,270.25h,91.32h,,,,16752.07h,,
,EASYPAY-1373,[DB] 8. Payload messages generation on MDM requests for GIRO Beneficiary Agreement,2/26/26,578.53h,15070.35h,,,,,,,139.23h,4.82h,3.87h,43.35h,,,,1486.90h,,
,EASYPAY-1386,[DB] 7. Payload messages generation on MDM requests for Standing Orders,3/9/26,578.55h,15070.35h,,,,,,,101.72h,37.52h,315.08h,4.27h,,,,1219.60h,,
,EASYPAY-550,[SEPA-WEB] Upload instragroup manual message,5/9/24,21.15h,0.00h,,,,,,,0.00h,6.38h,1.17h,23.85h,,,,17278.02h,,
,EASYPAY-549,[SEPA-EXCHANGE] Implement configuration for enabling/disabling MQs for test environments,5/8/24,0.03h,0.00h,,,,,,,0.00h,21.08h,7.50h,0.00h,,,,17301.98h,,
,EASYPAY-1355,[DB] Create Oracle AQ storage for payload messages containing changes in agreements,1/19/26,676.90h,14255.00h,,,,,,,0.10h,92.17h,5.40h,0.00h,,,,2395.88h,,
,EASYPAY-548,[DB] Do not route large amount cross-border and intragroup SEPA to RTGS,5/7/24,0.00h,0.00h,,,,,,,0.00h,3.08h,160.35h,0.00h,,,,17331.15h,,
,EASYPAY-547,Change priority of intragroup payments,5/15/24,0.20h,45.73h,,,,,,,2.82h,173.60h,92.85h,44.33h,,,,17138.27h,,
,EASYPAY-546,[DB] introduce new flow code GF in vm.sepa_processing_flow,5/6/24,0.02h,0.00h,,,,,,,0.00h,4.27h,48.63h,97.33h,,,,17349.23h,,
,EASYPAY-1384,[DB] 5. Track changes in agreements for GIRO Beneficiary Agreement,2/23/26,772.53h,15045.63h,,,,,,,20.73h,1.42h,3.80h,119.23h,,,,1557.75h,,
,EASYPAY-545,[SEPATRANSFER] Do not receive messages when flow merge is enabled,4/30/24,0.00h,0.00h,,,,,,,19.43h,77.87h,2.23h,0.00h,,,,17494.87h,,
,EASYPAY-544,[DB] part,5/15/24,0.00h,0.00h,,,,,,,49.03h,359.47h,29.73h,22.75h,,,,17134.47h,,
,EASYPAY-1382,[DB] 4. Track changes in agreements for Standing Orders,2/24/26,866.23h,15042.53h,,,,,,,0.00h,23.78h,5.53h,144.52h,,,,1532.20h,,
,EASYPAY-1358,[DB] Create new Oracle tables for DAY0 loading,1/20/26,866.98h,14278.37h,,,,,,,0.75h,74.03h,17.30h,0.87h,,,,2377.25h,,
,EASYPAY-1343,[DB] Create user for a new Java-Based application,1/15/26,867.32h,14061.18h,,,,,,,119.93h,70.68h,2.90h,2.85h,,,,2490.98h,,
,EASYPAY-1340,"[DB] New schema ""PAYMENTS_AGREEMENTS_MDM"" for Oracle procedure, AQ and tables",1/15/26,913.13h,14040.80h,,,,,,,0.00h,192.68h,16.78h,7.45h,,,,2490.85h,,
,EASYPAY-590,(DB) Add incoming SEPA payment data to crebit.toim_cb (NAMP)- LV ONLY,8/7/24,0.00h,2326.40h,,3.67h,,,,,0.00h,51.12h,0.05h,167.57h,,,,15117.57h,,
