Type,Key,Summary,Resolution Date,Ready for patch [deleted],Open,Ready for Development,Backlog,On Hold,Waiting test deploy,To Do,Ready for Refinement,In Progress,In Code Review,Acceptance Testing,Ready for Deploy,Testing,Ready for Testing,Code review,Discovery,Delivery,Canceled,Done,Cancelled
,GUI-3812,Fix ui-daterange labels connection to inputs,,,0.08h,,,,,,,,,,,,,,,,3786.15h,,
,GUI-3810,Disabled checkbox label has too low contrast in ui-legalblock,,,20.30h,,,,,,,,,,,,,,,,3815.67h,,
,GUI-3809,ui-comparison-cards table not highlighting card in mobile view,,,3836.20h,,,,,,,,,,,,,,,,,,
,GUI-3803,Red outline not appearing for all invalid field inputs,,,871.48h,,,,,,,,,,,,,,,,2990.58h,,
,GUI-3801,Runtime errors in ui-buttonbar,,,3863.37h,,,,,,,,,,,,,,,,,,
,GUI-3800,Slider overlaps on 150% zoom,,,3881.97h,,,,,,,,,,,,,,,,,,
,GUI-3799,Slider overlaps on 150% zoom,,,0.10h,,,,,,,,,,,,,,,,3881.95h,,
,GUI-3796,"On mobile, popup of ui-autocomplete is shifted a tad to the right",,,3952.48h,,,,,,,,,,,,,,,,,,
,GUI-3794,Random focus in Safari mobile menu,,,508.63h,,,,,,,,,,,,,,,,3453.07h,,
,GUI-3790,Checkbox list and resulting span screenreader functionality,,,3999.75h,,,,,,,,,,,,,,,,,,
,GUI-3785,Timepicker shows errors in browser console,,,18.42h,,,,,,,,,,,,,,,,4007.48h,,
,GUI-3784,[Accessibility] Make screen reader read information about sorting,,,3850.08h,,,,,,,,,,,,,,,,177.15h,,
,GUI-3783,[Accessibility] Wizard accessibility,,,4027.37h,,,,,,,,,,,,,,,,,,
,GUI-3782,"[Accessibility] Make pagination accessible - let it say the correct amount of pages, and more info",,,2350.22h,,,,,,,,,,,,,,,,1677.27h,,
