Type,Key,Summary,Resolution Date,Open,Investigation,Ready for Refinement,Backlog,Reopened,On Hold,Refined,In Development,Ready for test,In Testing,Waiting for acceptance,In Progress,Done,Abandoned,,,,
,CALLS-1444,Configure massPaymentHeaderDefinition to process iBank initiated batch payments,,24.82h,2689.17h,0.00h,,,,0.00h,0.00h,0.00h,,,,,,,,,
,CALLS-1443,Configure singlePaymentOrderDefinition to process iBank initiated batch payments,,24.82h,2689.18h,,,,,,,,,,,,,,,,
,CALLS-1442,Collect information for Dashboard about all BPMN errors (and Alert on selected ones),,2417.75h,,0.00h,,,,173.95h,138.53h,,,,,,,,,,
Production bug,CALLS-1445,"Payment can be signed from Smart form, if daily limit is exceeded",1/8/26,0.05h,,26.62h,,,,0.05h,20.10h,19.33h,2.83h,,,2663.65h,,,,,
,CALLS-1441,Enhance record counting for header with currency,1/7/26,0.07h,,113.07h,,,,,,,,,,,2688.53h,,,,
,CALLS-1465,[Flowmanager] Create basis for flow manager automated tests,1/7/26,,,,0.00h,,,,,,,,171.22h,2684.95h,,,,,
,CALLS-1440,[FlowManager] json can not be parsed when rgltryRptg added,2/10/26,0.00h,,840.65h,,,,20.83h,110.62h,11.70h,23.13h,,,1868.25h,,,,,
Production bug,CALLS-1458,Cannot search for payments by account number,1/29/26,666.30h,,0.03h,,,,176.20h,141.23h,1.15h,0.00h,,,2154.78h,,,,,
,CALLS-1439,"pain.001 V09 EE, LV - creditor address handling in domestic payment",12/22/25,0.37h,,0.27h,,,,25.40h,1.20h,2.68h,67.73h,,,3071.42h,,,,,
,CALLS-1438,"Data mapping and error handling for ""Revert used limit"" service task in massPaymentHeader process definition",2/19/26,0.00h,117.77h,575.07h,,,,3.87h,95.20h,600.07h,142.32h,,,1654.63h,,,,,
,CALLS-1437,Create Java delegate to identify if future execution date and set datetime in UTC,2/12/26,0.00h,,25.17h,,,,450.80h,81.28h,0.23h,0.17h,,,2635.82h,,,,,
,CALLS-1436,Monitor all BPMN errors,4/1/26,2538.85h,,,,,,,,,,,,,673.20h,,,,
,CALLS-1434,Setup user authorization groups in prod,,2.58h,0.72h,2899.28h,,,,312.90h,,,,,,,,,,,
,CALLS-1433,Improve archiving process for better utilization of partitions,12/17/25,0.00h,,0.00h,,,,0.00h,28.53h,0.00h,0.00h,,,3186.97h,,,,,
,CALLS-1432,"Data mapping and error handling for ""Calculate foreign exchange (FX)"" service task in massPaymentHeader process definition",1/19/26,0.05h,,0.83h,,,,32.65h,507.07h,75.05h,125.80h,,,2474.60h,,,,,
