Type,Key,Summary,Resolution Date,Funnel,Backlog,Open,Investigation,Ready for Refinement,On Hold,Analysing,Implementing,In Deployment,In Development,Ready for test,In Testing,Refined,Waiting for acceptance,Done,Cancelled,Abandoned,Funnel to Done,Implementing to Done
,VDE19-395,[AA] Payments ibank pages implementation +10K visits / month (critical),3/20/26,520.50h,0.00h,,,,,0.07h,4446.27h,0.00h,,,,,,979.87h,,,4966.83h,4446.27h
,VDE19-378,[IPR RB] Refactoring of Payment Party Identifier changes,11/12/25,1991.15h,,,,,,,,,,,,,,,4052.93h,,1991.15h,0.00h
,VDE19-377,[IPR] Prod Bug fixes & improvements after 5th of Oct Go-Live,2/13/26,0.17h,1105.87h,,,,,0.05h,3120.43h,0.00h,,,,,,1822.00h,,,4226.52h,3120.43h
,VDE19-376,[IPR] Testing of defined process of payment order from SGW channel,,1630.87h,0.00h,,,,,3356.90h,1078.93h,,,,,,,,,,6066.70h,1078.93h
,VDE19-375,[IPR] VOP Manually created mass/salary payments in iBank,3/2/26,142.82h,0.00h,,,,,1894.33h,2634.85h,0.00h,,,,,,1418.17h,,,4672.00h,2634.85h
,VDE19-374,[IPR] VOP Import of mass/salary file in iBank,8/20/25,18.57h,,,,,,,,,,,,,,,6071.73h,,18.57h,0.00h
,VDE19-373,[IPR] [Enabler] Technical investigation & system improvements after going live,,6094.98h,,,,,,,,,,,,,,,,,6094.98h,0.00h
,VDE19-372,[IPR] Flow Manager production setup,,3384.20h,0.00h,,,,,963.83h,1747.28h,,,,,,,,,,6095.32h,1747.28h
,VDE19-371,[IPR] VOP Mandatory Testing with EBA Clearing,10/1/25,577.13h,0.00h,,,,,0.00h,453.98h,,,,,,,5065.13h,,,1031.12h,453.98h
,VDE19-369,TEST: [TPH][EndToEnd] Incoming customer pacs.008 payment AGENT CHARGES camt.106,,1064.48h,,,,,,5197.40h,,,,,,,,,,,6261.88h,0.00h
,VDE19-368,TEST: [TPH][EndToEnd] Incoming customer pacs.008 payment EXCEPTIONS,,1064.58h,,,,,,5197.37h,,,,,,,,,,,6261.95h,0.00h
,VDE19-364,TEST: [TPH][EndToEnd] Incoming customer pacs.008 payment HAPPY PATH,3/30/26,1065.75h,0.00h,,,,,0.00h,4454.53h,,,,,,,742.87h,,,5520.28h,4454.53h
