Type,Key,Summary,Resolution Date,Open,Investigation,Ready for Refinement,Reopened,On Hold,To Do,Backlog,ON-HOLD testing,In Testing,Refined,In Development,Ready for test,Blocked,Selected for Development,In Progress,Waiting for acceptance,Done,Abandoned
,PAYME-1685,"LV country incorrect ""Continue anyway"" button translations for received VoP response: ""Verification check is not possible"" (NOAP)",2/2/26,0.15h,,0.00h,,,,,,1.38h,148.50h,5.32h,86.15h,,,,,2063.58h,
,PAYME-1684,"LV country incorrect ""Continue anyway"" button translations for received VoP response: „No match”",2/2/26,18.48h,,0.00h,,,,,,1.27h,76.95h,76.87h,86.17h,,,,,2063.68h,
,PAYME-1683,[iBank] Imported MASS payments - when user try to open 2nd time and sign - incorrect error is shown,1/29/26,1.78h,,0.00h,,,,,,144.80h,15.77h,6.30h,1.00h,,,,,2154.10h,
,PAYME-1682,"LT country translations for received VoP response: ""Verification check is not possible"" (NOAP)",2/2/26,0.02h,,0.00h,,,,,,1.12h,99.82h,76.88h,86.15h,,,,,2063.85h,
,PAYME-1680,[worker-payment-vop-handler] Improve grafana dashboard,1/30/26,0.00h,,0.00h,,,,,,169.97h,0.00h,45.10h,0.00h,,,,,2135.77h,
,PAYME-1679,[iBank] Mass payments creation page - Vop is not performed when saving with warnings,1/22/26,0.02h,,0.00h,,,,,,17.92h,0.10h,3.55h,1.87h,,,,,2327.78h,
,PAYME-1676,Not correct info message for customer,2/2/26,16.00h,,172.08h,,,,,,69.35h,47.37h,19.88h,4.33h,,,,,2064.30h,
,PAYME-1673,Placeholder - to run scrip of PAYME-1499 and reminder about payme-1578,3/12/26,1054.67h,,0.00h,,,,,,,188.02h,,,,,,,1152.78h,0.00h
,PAYME-1671,FORWARD button is missing when opening file from import of payment page,1/23/26,0.10h,,0.00h,,,,,,20.82h,0.13h,26.90h,43.88h,,,,,2304.82h,
Test,PAYME-1670,AC12,1/23/26,98.15h,,0.00h,,,,,,0.00h,0.00h,,0.00h,,,,,2301.20h,
Test,PAYME-1669,AC11,1/19/26,2.13h,,,,,,,,,,,,,,,,2397.22h,
Test,PAYME-1668,AC10,1/19/26,2.30h,,,,,,,,,,,,,,,,2397.05h,
Test,PAYME-1667,AC9,1/19/26,2.07h,,,,,,,,,,,,,,,,2397.30h,
,PAYME-1666,Details/Reference number visualization in Mass/Salary file,2/13/26,0.17h,,153.65h,,,,,,68.60h,0.00h,62.47h,318.22h,,,,,1796.82h,
Test,PAYME-1664,AC8,1/23/26,0.03h,,,,,,,165.30h,0.00h,,,,,,,,2301.20h,
,PAYME-1663,do not show message for vop result MTCH before redirecting to list of payments approval page,2/2/26,0.02h,,0.00h,,,,,,0.85h,238.62h,76.85h,86.18h,,,,,2064.12h,
