Key,Resolution Date,Backlog,To Do,Open,In Progress,AC Test,Code review,Discovery,Delivery,Done,Cancelled
BWEBDEV-7977,,0d 0h 30m,,,0d 0h 36m,14d 21h 13m,,,,7d 5h 10m,
BWEBDEV-7976,,0d 0h 37m,0d 1h 10m,,0d 1h 6m,5d 16h 13m,,,,16d 9h 4m,
BWEBDEV-7975,,1d 23h 43m,2d 23h 58m,,0d 0h 49m,9d 20h 52m,,,,7d 6h 49m,
BWEBDEV-7974,,2d 0h 8m,0d 0h 0m,,6d 4h 40m,13d 23h 34m,,,,,
BWEBDEV-7973,,0d 0h 43m,0d 0h 0m,,0d 2h 28m,1d 21h 7m,,,,20d 4h 7m,
BWEBDEV-7971,,0d 0h 4m,0d 0h 34m,,0d 1h 13m,0d 22h 21m,,,,21d 5h 38m,
BWEBDEV-7968,,12d 1h 22m,0d 0h 0m,,0d 22h 52m,1d 3h 28m,,,,8d 3h 37m,
BWEBDEV-7967,,0d 5h 13m,,,0d 0h 13m,7d 19h 1m,,,,14d 7h 41m,
BWEBDEV-7966,,0d 8h 55m,0d 2h 53m,,0d 0h 43m,22d 7h 19m,,,,,
BWEBDEV-7964,,2d 21h 17m,0d 0h 0m,,0d 1h 34m,2d 19h 37m,,,,17d 6h 56m,
BWEBDEV-7963,,0d 18h 8m,1d 2h 21m,,3d 22h 58m,3d 1h 55m,,,,14d 4h 4m,
